run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
398,Best-Acc,1,False,,11233.564092180628,1.58056640625,22.63037109375,117,95.16,fast
398,Lowest-Latency,4,False,,6185.518182034862,1.05419921875,10.64208984375,66,93.86,fast
398,Random,7,False,,8629.619619881269,1.24560546875,16.47412109375,87,94.56,fast
398,Round-Robin,7,False,,7658.257475819971,1.24560546875,15.107421875,79,94.56,fast
399,SLO-first,4,False,-97.33783240216296,7019.7451715830675,1.05419921875,21.81103515625,102,93.86,fast
399,Best-Acc,1,False,,9953.344427419763,1.58056640625,19.47509765625,124,95.16,fast
399,Lowest-Latency,4,False,,7712.29962331284,1.05419921875,22.181640625,115,93.86,fast
399,Random,3,False,,8271.325399396454,1.19775390625,24.22607421875,123,94.11,fast
399,Round-Robin,1,False,,10380.532765743303,1.58056640625,24.12890625,115,95.16,fast
0,SLO-first,3,False,-115.14862639440756,8292.123313886255,1.19775390625,17.5986328125,87,94.11,default
0,Best-Acc,1,False,,7587.851039079888,1.58056640625,15.94921875,80,95.16,default
0,Lowest-Latency,4,False,,7766.237151034867,1.05419921875,10.869140625,90,93.86,default
0,Random,7,False,,8102.5130679215645,1.24560546875,16.24072265625,82,94.56,default
0,Round-Robin,1,False,,10088.322699398257,1.58056640625,21.83203125,100,95.16,default
1,SLO-first,7,False,-91.72895365921616,6619.610975658296,1.24560546875,11.9521484375,76,94.56,default
1,Best-Acc,1,False,,10645.723031894708,1.58056640625,19.5439453125,110,95.16,default
1,Lowest-Latency,4,False,,5653.766964035651,1.05419921875,9.3037109375,65,93.86,default
1,Random,2,False,,11910.848262009695,1.77197265625,22.82470703125,125,94.99,default
1,Round-Robin,2,False,,10598.710698241473,1.77197265625,22.431640625,103,94.99,default
2,SLO-first,6,False,-94.3991670022169,6810.361928729779,1.24560546875,13.9619140625,72,94.59,default
2,Best-Acc,1,False,,9118.443003336393,1.58056640625,21.55224609375,103,95.16,default
2,Lowest-Latency,4,False,,7362.671473791481,1.05419921875,13.94384765625,75,93.86,default
2,Random,6,False,,8765.485838427927,1.24560546875,15.0966796875,95,94.59,default
2,Round-Robin,3,False,,8285.367247666194,1.19775390625,15.068359375,88,94.11,default
3,SLO-first,3,False,-99.37280661498652,7165.27904392761,1.19775390625,12.75048828125,79,94.11,default
3,Best-Acc,1,False,,9505.60964245025,1.58056640625,19.6875,115,95.16,default
3,Lowest-Latency,4,False,,6004.764159968673,1.05419921875,10.66748046875,68,93.86,default
